Days,ARPU_M1,ARPU_M2,ARPU_M3,ARPU_M4,ARPU_M5,ARPU_M6,ARPU_M7,Total_revenue
01/01/2024,2.39649535105007,7.29089535105007,9.89800191105007,29.89800191105010,25.11649535105010,17.16495351050070,5.64749305408418,19909775.883380
02/01/2024,2.37516069027685,7.55676069027685,10.66544405027690,30.66544405027690,25.69444251448640,17.06076957363910,4.89048433141763,21406082.447005
03/01/2024,2.42590597779814,7.82510597779814,11.93506293779810,34.72473093779810,26.31353095948110,16.94252416288340,4.11417936767692,25332324.516824
04/01/2024,2.39538284606607,7.43898284606607,14.13213340606610,34.13213340606610,26.78965825501520,17.65173088123780,4.50924723251925,27378682.908493
05/01/2024,2.28610230049864,7.28410230049865,10.71798355049860,30.71798355049860,27.46494743416180,17.03504209448040,3.03098248374202,25281649.360983
06/01/2024,2.31644237055335,7.28484237055335,10.46808658055340,30.46808658055340,28.06792995478910,19.85746387082310,6.41870761665643,30804339.516688
07/01/2024,2.30551193861711,7.24431193861712,10.18860214861710,30.18860214861710,28.57857570128580,18.64807106496360,4.10752299501223,30021302.110371
08/01/2024,2.48284015639909,7.49617348973242,11.61576391207810,31.61576391207810,29.11146996596000,0.81128512698070,6.56944306039311,36823874.461496
09/01/2024,2.52300141992692,7.61086808659358,13.14463575634670,33.14463575634670,29.44057811169920,19.70058750135050,4.40544895351699,37954663.565821
10/01/2024,2.60750410236961,7.76990410236961,14.98312911236960,34.98312911236960,29.74125709105030,20.72719566020500,5.26873170082663,43804853.502173
11/01/2024,2.31225457062346,7.65585457062346,15.25232171333950,34.43618367111950,29.69115660882050,18.82464937086890,1.99480392888500,40017791.465011
12/01/2024,2.56179879156507,7.85099879156507,16.08809979465150,34.43957262102110,30.10454381547320,19.98085017299670,3.05240157134125,44654167.757009
13/01/2024,2.59476486345009,7.82956486345009,16.72965702345010,34.23184932778610,30.21780679793330,22.33469319099210,5.81008366120585,51320189.396818
14/01/2024,2.44295006122213,7.58895006122213,13.73827373684710,33.88473683147810,30.10191276113720,20.85153976769170,3.14834860295313,48378094.680669
15/01/2024,2.35632943009971,7.41352943009972,11.38495884009970,33.60813644009970,29.96743063005760,22.46439670955600,4.87249468031048,52670180.743113
16/01/2024,2.48018046122007,7.83338046122007,15.30114907122010,31.30880987122010,29.70164570290610,21.91788959452730,3.55083897048790,49027380.132267
17/01/2024,2.48786457044753,7.73006457044752,13.71818824607250,33.20965758044750,29.51630724576290,22.52718305799000,3.87226343499749,54204028.826959
18/01/2024,2.33785338261338,7.46905338261339,12.18365434261340,35.30882199261340,29.09959760273600,21.69185860530130,2.15974394552138,55569785.340338
19/01/2024,2.34589662799970,7.41296329466637,11.47882038367870,34.78097018695800,28.74155392667870,22.14241887410740,2.27530863842351,56545917.004637
20/01/2024,2.28070843335913,7.28364176669246,10.76045308718630,34.20412566002580,28.24965398773340,24.76198753160890,5.46838806049614,62434481.920851
21/01/2024,2.28908559154064,7.22788559154064,10.17217580154060,33.72440926716560,27.77881467287020,24.08961163369340,4.01652389400893,60200414.499420
22/01/2024,2.37663332593420,7.27529999260087,9.67684549642803,33.35009300260090,27.34698071389630,23.68480609865110,2.95411565507624,58974405.150546
23/01/2024,2.21142550816680,7.06995884150013,8.98698577051248,32.74526021712510,26.62863291502750,24.05968432288260,3.00587567515985,58186834.689152
24/01/2024,1.98858852971488,6.80698852971488,8.29408873971488,32.10438948971490,25.82920764570220,26.01921777714380,5.31066906784727,60638297.698965
25/01/2024,31.81946003088110,6.94106003088119,17.20708739088120,30.23255024088120,25.41408157617830,25.42508424730060,4.01647645085084,57593047.851459
26/01/2024,2.86324017303296,7.37940017303296,16.56510478303300,29.98340907960900,24.91204227816020,26.30950322852680,4.82615738085162,59219823.028107
27/01/2024,2.65757696280867,7.56829696280867,15.71117696280870,29.50631859706470,24.16968924821310,26.49800837778220,4.66497974360305,57757746.450490
28/01/2024,2.50798848528458,7.81326848528458,14.94961349528460,29.10599712306060,23.50333798792470,27.15314234076100,5.17744200237984,57622789.762706
29/01/2024,2.30937205333067,8.00921205333068,14.17412261333070,28.67655696694670,22.81834693376510,27.08301460905910,4.67835813144472,55673918.832130
30/01/2024,2.38348085879619,8.47788085879619,13.70528786879620,28.53898106879620,22.44641756412600,25.61648799101290,2.21898493145676,52599005.998812
31/01/2024,2.33225571246045,7.83125571246045,13.02689987246050,30.39567797808550,21.88175824987390,27.59772019606900,4.65037010296730,59474664.578313
01/02/2024,2.29686985999252,7.20046985999252,12.39600110999250,32.96651401999250,21.39097266899530,28.60186731821530,5.71519924299085,66043726.854096
02/02/2024,2.47371487650087,7.42131487650087,11.95287183650090,31.44234428650090,21.12290342737860,28.44834518931570,5.15843297698090,63442957.962236
03/02/2024,2.45373194939335,7.43746528272668,11.47545012501840,31.90288890939340,20.77983759649460,25.57398566774110,0.76974793713926,57758720.067390
04/02/2024,2.62700211102651,7.64686877769317,11.21110872102650,32.58613336102650,20.70698985155790,27.89790949567870,3.74878699336351,65392724.603588
